event_time,player_id,event_type,stake,payout,session_id
1788222333,s2,signin,,,s2-S1
1788222393,s2,spin,7.19,,s2-S1
1788222398,s2,lose,,,s2-S1
1788222423,s2,spin,11.18,,s2-S1
1788222428,s2,cashout,,19.48,s2-S1
1788222513,s2,spin,7.21,,s2-S1
1788222518,s2,lose,,,s2-S1
1788222547,s2,spin,3.27,,s2-S1
1788222552,s2,lose,,,s2-S1
1788222566,s2,spin,8.09,,s2-S1
1788222574,s2,almost,,,s2-S1
1788222591,s2,spin,9.83,,s2-S1
1788222594,s2,lose,,,s2-S1
1788222610,s2,spin,16.56,,s2-S1
1788222615,s2,lose,,,s2-S1
1788222636,s2,spin,25.64,,s2-S1
1788222642,s2,lose,,,s2-S1
1788222665,s2,spin,51.86,,s2-S1
1788222672,s2,lose,,,s2-S1
1788222686,s2,spin,74.72,,s2-S1
1788222694,s2,lose,,,s2-S1
1788222711,s2,spin,100.82,,s2-S1
1788222719,s2,lose,,,s2-S1
1788222733,s2,spin,80.67,,s2-S1
1788222740,s2,almost,,,s2-S1
1788222762,s2,spin,92.36,,s2-S1
1788222768,s2,lose,,,s2-S1
1788222788,s2,spin,179.82,,s2-S1
1788222793,s2,lose,,,s2-S1
1788222803,s2,spin,360.14,,s2-S1
1788222809,s2,lose,,,s2-S1
1788222830,s2,spin,260.99,,s2-S1
1788222836,s2,lose,,,s2-S1
1788222850,s2,spin,662.36,,s2-S1
1788222854,s2,lose,,,s2-S1
1788222864,s2,spin,584.75,,s2-S1
1788222870,s2,lose,,,s2-S1
1788222887,s2,spin,508.06,,s2-S1
1788222894,s2,almost,,,s2-S1
1788222906,s2,spin,684.61,,s2-S1
1788222910,s2,lose,,,s2-S1
1788222927,s2,spin,1200.97,,s2-S1
1788222934,s2,lose,,,s2-S1
1788222940,s2,spin,1959.63,,s2-S1
1788222948,s2,almost,,,s2-S1
1788222954,s2,spin,3403.24,,s2-S1
1788222961,s2,lose,,,s2-S1
1788222969,s2,spin,2289.55,,s2-S1
1788222973,s2,lose,,,s2-S1
1788222983,s2,spin,2754.32,,s2-S1
1788222991,s2,lose,,,s2-S1
1788223001,s2,spin,5919.38,,s2-S1
1788223005,s2,lose,,,s2-S1
1788223013,s2,spin,11116.65,,s2-S1
1788223019,s2,lose,,,s2-S1
1788223028,s2,spin,12671.05,,s2-S1
1788223035,s2,lose,,,s2-S1
1788223047,s2,spin,21766.6,,s2-S1
1788223052,s2,lose,,,s2-S1
1788223058,s2,spin,32162.19,,s2-S1
1788223065,s2,lose,,,s2-S1
1788223076,s2,spin,27345.44,,s2-S1
1788223083,s2,cashout,,87293.57,s2-S1
1788223106,s2,spin,7.08,,s2-S1
1788223111,s2,lose,,,s2-S1
1788223119,s2,spin,4.66,,s2-S1
1788223125,s2,cashout,,14.18,s2-S1
1788223151,s2,spin,9.53,,s2-S1
1788223155,s2,lose,,,s2-S1
1788223160,s2,spin,10.4,,s2-S1
1788223165,s2,almost,,,s2-S1
1788223173,s2,spin,5.2,,s2-S1
1788223181,s2,cashout,,17.25,s2-S1
1788223205,s2,spin,4.57,,s2-S1
1788223211,s2,almost,,,s2-S1
1788223219,s2,spin,5.51,,s2-S1
1788223226,s2,lose,,,s2-S1
1788223231,s2,spin,5.62,,s2-S1
1788223236,s2,lose,,,s2-S1
